address,xASTRO,ASTRO,total_astro
terra1lrh6zrjf6345ejpcvm04xlvrz6pxa0vr9urcud,323.629409,0.0,323.629409
terra16e709rwna3lt6n7r8j094642vfrtjt732h8cvl,0.0,0.0,0.0
terra1m8e2svmxugq9asl3vu0m9tyfwnlqlxwsz64wkj,1177.660452,0.0,1177.660452
terra13xkmx55537axl3mn43j6jmjdr8ye2k3e7ju6fv,173.360737,0.0,173.360737
terra194nxv2tkm6vr8hus4t2m7rlj56muf0gtxzvfmz,0.009595,15.845013,15.854607999999999
terra1dy0rrtfyae30sx03z2469xwle3w5exp7cugcvf,3332.116366,0.0,3332.116366
terra1cnw6u2h2w7x0lanywjm8e5elzxhpd5rp2qza8k,0.0,0.0,0.0
terra1ng0yfuztxrg3kq6dvzr0hx9c2e9kn2qhpra8ra,5.712037,0.0,5.712037
terra18w5me96dsr0paamsum3hwz9p5f9t7cjwnn8zjc,0.0,0.0,0.0
terra1s8r8x79qzqsv0z4whxkx6z763d7spar0h5uz2w,499.55459,434.197475,933.752065
terra10fjzw9mnpyjlfgd8vs2upruqxhtas4ctgyypn8,0.0,0.0,0.0
terra1v8xcwwh3s5zj5nr5tck5akjuuyxekp7au48mym,0.261135,0.0,0.261135
terra1s22gkwl6vp2jj6272vmdky0wfrxldp9acphntp,1795.363144,10.960675,1806.323819
terra1vyc4j9t9tj7p5rg0mkca4xhjzu9lcch98stt8s,50.906876,0.0,50.906876
terra1zv8m7k9jjw9tw24d0d9w576apt8ghl5fnlaevg,0.0,0.036911,0.036911
terra1kxhd7gsvyf80s82jq08p9kq0qdd3nh3xz68lha,0.009245,0.000883,0.010128
terra1sx9wetp9mc92yxq98787td6z3rk0rp7cf8vx0f,11310.595393,0.0,11310.595393
terra10a4pvs2t2m8rn28jw2g750ky74c767dl54a5e5,172.637072,0.0,172.637072
terra1qh63k4j3gvttvrrjd8e0swru8jcgcymgv9p7w2,0.0,0.446528,0.446528
terra1ywcj0qmuvfv6v97esqd6qyptsw2cqzya8fx4kf,2813275.718139,109491.828582,2922767.5467209998
terra1f65x4q6d7rkuh0xafgc2gtsjj593fljf52j2s9,1602.314013,5.126274,1607.440287
terra10szvn7tqq4mpygsqy70kr6phxzr36m82ykwrwy,213.538438,0.0,213.538438
terra18zr3alwnsp4yv6zwmr5wnp0xrjc9q9ege3wylk,18.875105,0.0,18.875105
terra134ut3s5mqh5fa5ftv3mzke9g6syjmmrvudulsr,159.309369,0.0,159.309369
terra1zcfdvw3s94f6ky9t6ck7e2g70e6zjfda0vtdqn,0.0,0.0,0.0
terra1f9y60m4szjswcqvex32k6pph40f8jwystfwme9,1819.818597,1161.966058,2981.784655
terra10050ysltm25ys7nm8gw97qrer76zhqyh2ef2qm,131.977243,0.0,131.977243
terra1m9kffdlxrcedpmjh2evqqcw4jh06x9wwhc55nn,166.713893,0.0,166.713893
terra1exm6tyfqdluqz09cuk3yxty5gmrrghu24fclr3,1000.341498,9.286261,1009.627759
terra1m88afvvj2zle3vu9crz79jmyspq888rguyrw38,199.79693,0.088578,199.88550800000002
terra1t5nhn7kcvep4mqgcq7p5t3kvdntpz3hg8tf0n9,1949.845784,0.0,1949.845784
terra1tcttlvp753axe9cqek995gswwjkx4hcwxupep6,286106.937574,0.0,286106.937574
terra18v3g06ahv4aht07anajf064d844xawyk03mmld,1327.067875,0.0,1327.067875
terra1qweasagmfvgxdz8jjg2xk7llgftfuu7y9gv5hu,470615.832984,5294.64859,475910.481574
terra1c5vuh7jpxthpacptp5y4hmhjpt96lrm67c7rae,378.441898,0.0,378.441898
terra1kjff7vztersdqdqq45yhrthx50jkxqwn6wyrtn,235.997729,0.0,235.997729
terra1muh900j4d6es2jd7cmyfh9cprt2ytgj7em5k0j,501.282012,0.0,501.282012
terra1dqmjcyy80jtfdkyhxhwawnuj7cs0wkvqrzshr9,102.506486,0.0,102.506486
terra1e594vly6kxvqejhs9gzyx3adfd2f80e4v05hrr,0.0,28.40378,28.40378
terra1v3h5lejqer5qnjnj6gds94u55x0qsxq7cpxs2kf7kqu6drwgmz4qd9qav9,0.0,0.0,0.0
terra18vyh6mq58zdrgpdg7hay8m4yetqmy5yuxnhz8m,15361.14861,0.0,15361.14861
terra1merymncax4xfz92y0hlp8t4w0hfsv9amgn4az2,4.845146,0.285699,5.130845
terra1sqsja0pmatt6y2j7px72ct5u0g80nd84y2n8x8,382.188244,0.0,382.188244
terra18rwg4ljlsjdcpjv82luas7pnq6jtjjcu0jqwm5,1103.040825,0.0,1103.040825
terra1qu5jfkraj5pldcvmjh936utfer0me7v5q96pcl,502476.571708,100304.624219,602781.195927
terra17lel3m60lzrkrfj9htsfhsfchr4dutkull2uz7,3483.189608,0.0,3483.189608
terra1v6fv032gj7ftch2mackzextajg295nth9nyjuw,6597.699796,3874.320662,10472.020457999999
terra1vwg9c2wyv82g790sqnxsxv248zp7s945f2pa5h,99.654995,0.0,99.654995
terra1u3wk4rs7uh0unvtkhq8fln4gm7ppcj9qyduyre,152.004883,0.0,152.004883
terra15zy84q3x3eaegt63rt0nfhqn52yugwr6q09rlp,473.353583,0.0,473.353583
terra1twkgfu36nucvgj9lr08qats8xq02jlywc46h2y,30.606743,3.1e-05,30.606774
terra1x7jr9v7lk3vah5v8hk2c88l92eatcu8ch0epuv,879.572127,0.0,879.572127
terra134puz7xw4g8wzzr0p2zrr73vtkwy3nvg5e6gql,42.041522,0.0,42.041522
terra1lcvwcmqpl5l4v80xccya6gpkz0acmaw8kpj426,122.912233,0.0,122.912233
terra1lgmat993yezll9jwqe803qj859l4qvxtgax89a,0.0,0.036719,0.036719
terra13up98utcuw9fxw93mw2z9v5dfvyc6zdft2e7v5,57.132413,0.0,57.132413
terra1hkaw54vnul268arxm4m5gxa2ffw4jpe3ghy9t6,0.0,0.0,0.0
terra1hc7vsfqu9s5k6znk8u0rcqgcetsf23gen8uc2g,157324.918921,23143.520053,180468.438974
terra1aen2crwuncc9rzf7wwzvetk92zcpgurenp9r9k,2636.711306,0.0,2636.711306
terra1adcvqkuendh7lnlxwztxg009ayyqej3v95k4hv,0.0,0.0,0.0
terra19dpmv73enga63d4awgj9kjekxdmc2xg2epgshn,0.0,1.871611,1.871611
terra1vfpx08u5q70ss3fqg4w9jfmy0ks4amnzscupqa,226.707765,0.0,226.707765
terra1kgmrp2rdwwxvjh7t8nxmr6gdzm6z7v6w259nvz,0.0,0.0,0.0
terra1wtwsl5h6wahdlwgtf2up5w0rn2jm8c4caca28c,158.450662,0.0,158.450662
terra18wag469lynaln7qgfcf9p292dnfm5lzaertga3,512.404382,6313.351005,6825.755387
terra1g0l7vx03rx9888yg6tluh5c6wm25yf49xk6zag,0.0,0.0,0.0
terra19dj8trkdnvyanqnf32kf5qjmtcvygz295mtgdn,327.990323,0.0,327.990323
terra1jexr8ggh07cxz3q3jqvnw4vc2q39cc0dd46kux,54.093822,0.0,54.093822
terra1usrqqtsu75j8d5gf932gc8vuh7yly62nwsv5ps,201.679526,20.185443,221.864969
terra18d5q877qzl5v00takldnvq8fcavsmf90mln57g,0.929849,0.0,0.929849
terra1g2yeqwz4d944g3pxuttvz4azst6s6nlmytrqal,196.12105,7.737144,203.858194
terra1mn47hgejj9wt9678gpu9h2ljn7zew58lap3kqy,9.989237,6.896576,16.885813
terra18dc0shnv6nqnvw2zsl2xcjym56zzat60lxv0um,0.0,0.0,0.0
terra1yvya2wnt7s4j4dwmunelsrq7mxrjqmnypkmwee,3200.0,0.0,3200.0
terra10exklrq7j7dcexqt4h6enkjtelvauqkeqq842r,153.974584,0.0,153.974584
terra1v6a7pxak4nqvqswuxyssyq8ncpg0a26zd5ynrj,3397.858589,0.0,3397.858589
terra1q7xnvtxqma5v267zsuyp4kd594hn8d29wxtzcn,2629.539402,0.0,2629.539402
terra1z85defn62a28w78nflnje82x4c8ux9jpees3qv,33192.253139,1239.811336,34432.064475
terra1svssjzch2la9vsq20nd3828gajgu942mmh0je7,0.190783,1.161746,1.3525289999999999
terra1m5j8lwn4wg9n26rvupr5nvuaww5tqyj57sfwcn,98.91133,0.0,98.91133
terra1fjklhhev666eucy7jrhvfcwgntt7yys2mes9nk,3967.602948,505.081601,4472.6845490000005
terra1mnaheynwj85znn0xmt4cekesnmr0m7ywtg8887,152.188705,0.0,152.188705
terra1vahtumm5lll59x5s43l2d9hg8spkn50d9cl3w0,792.819608,0.0,792.819608
terra1zu3en7aqw3p5m9653aj5earn8fd0n7v6x7km7r,118.609501,0.0,118.609501
terra13r96zynpwfpxlmgmg8rnap09gkw6ngvq3hpv6v,263.717038,0.0,263.717038
terra1y43lnjgessy3x5fwtrwx0yd5qmfuaveexk6gv3,1.899792,0.0,1.899792
terra14wv264ngauxx9v5kyrc33yd6q3ek2jvdjarxkk,0.004928,0.052407,0.057335000000000004
terra1rvq7ad8glqp2ex8nry7nvvgrh69q5yd50hx3g3,3432.602697,0.0,3432.602697
terra1takvh3d6v5jjglwza6yd99ashmhle62vr7y56d,2809.211689,0.0,2809.211689
terra1ek34nee70jjctw0hfczsl69fas3n6gt8zsxqjv,309.386458,0.0,309.386458
terra1ms24nn8r3lg75q0657juwdkqrqw4j2vywn82sd,54.58175,0.0,54.58175
terra1ukp43w0etqlklxm2jw9aue2pacdfa70ty6ldmp,0.0,0.0,0.0
terra1qjr06ph00ax7ujpk589t8dgt085xd9908hyqgt,327.295977,0.0,327.295977
terra1txu7yhnmw3eqsnceft4umhqtfw926k34l0geeg,18.752626,0.0,18.752626
terra1ksslyd5kusw6h9dn8gdwrnlg2rl4k3zy89g6vx,0.0,0.0,0.0
terra12zvuea3wpa0amavkvdqn4au0ljafxveqvvrp3w,2089.73186,0.0,2089.73186
terra1nq926h6jffcl46fln6pfm288353c5arcnrlym9,52.037366,0.0,52.037366
terra1p9m8gzk43kue906zsk74akrpjjy440mqnhmvpq,9.01097,0.63946,9.65043
terra18ktrhfcdup2fxypv6ke4feh42ugye8purgq4rq,0.0,0.0,0.0
terra1x98qerxmm3kamypues9p4na8fjle5twp8vg9lr,0.0,0.0,0.0
terra1e4sldk08xfm033qx4y090afzpptc6e5k5mg6h9,0.0,0.0,0.0
terra1usw9uesslenpskpdqqtsqh7fy8wx7vsg3tmqau,55464.210347,0.0,55464.210347
terra16v56slkehtd0ycdnew685kj3njl94h27repqar,30.480271,0.0,30.480271
terra1lyqwtdehvfutsygtejywyva952a6nxntrswc2g,27588.468124,0.0,27588.468124
terra1k8fp54xnjdvljd8rzgmaeg6r2u3vy6vyr7gpy7,74.399526,0.0,74.399526
terra1kgt2cr59u6t2acpwwpzy7defulwaw84mf9w4yd,1631.009872,0.0,1631.009872
terra1hc7rtx7scnw7xhse2s3ed58usxh2yjhfxqusc3,12802.307855,0.0,12802.307855
terra1vcd2fh3w6j8nagnku8jxts7cw35vaf04mzd5u3,97.065852,0.0,97.065852
terra1j239jt6eq7w6ksza45gym5z3vnsqzq45jmrund,0.0,0.0,0.0
terra1uvsmfna9m5qd4wedaclwu4h70ewj89mt0p39m4,6.403265,0.012141,6.415406
terra1dcljqpvgqvwfj0dmawx43ze2lzv3hxwtpp3n7f,8533.968086,0.0,8533.968086
terra1tzaj8njus4adnsvfa4ta8amm8vws6hx2tn8pjn,0.0,0.0,0.0
terra15z9mnjnlxwkp8s3fqfmyqmlqgh6jrmazz4xu0n,19646.369181,0.0,19646.369181
terra1n88sqvwhnkt7ymmwk2jgxw8t86q6cedcflhm7r,6.07243,0.0,6.07243
terra1jesfrtv3yjcug7c2sfhfdavh6h0yhdhsvwhvdj,83639.022872,0.0,83639.022872
terra16r5q7lef9nyv79djge3yw55l9x67g2yxa5l9g6,56582.883964,183.935425,56766.819389000004
terra1276znwxgec2txyhlnzfmwmlvt7yxr9a4ysway7,0.0,0.0,0.0
terra1ka6rv9tp56x397jwvc7wyyvwsg3ukw96yd6pu2,0.0,0.0,0.0
terra1u2qqtqlwsu9v9ptz984h4wk39vw2vg54rm02mq,995.742602,0.0,995.742602
terra1n3r6u05pjkcnkvw2js6grg2t3qmwl3ky0wezx5,3721.419813,0.0,3721.419813
terra1wx5wzqyrc90xm67nzgqdgzy5yvdjpk75gjnws3,294.331544,0.0,294.331544
terra1t9thawx8xd79z5ln6sa2fr0hxaglehs3lxg3l0,218.592553,0.002076,218.594629
